generation,energy
935,9.57831e-11
936,9.57831e-11
937,9.57831e-11
938,9.57831e-11
939,9.57831e-11
940,9.57831e-11
941,9.57831e-11
942,9.57831e-11
943,9.57831e-11
944,9.57831e-11
945,9.57831e-11
946,9.57831e-11
947,9.57831e-11
948,9.57831e-11
949,9.57831e-11
950,9.57831e-11
951,9.57831e-11
952,9.57831e-11
953,9.57831e-11
954,9.57831e-11
955,9.57831e-11
956,9.57831e-11
957,9.57831e-11
958,9.57831e-11
959,9.57831e-11
960,9.57831e-11
961,9.57831e-11
962,9.57831e-11
963,9.57831e-11
964,9.57831e-11
965,9.57831e-11
966,9.57831e-11
967,9.57831e-11
968,9.57831e-11
969,9.57831e-11
970,9.57831e-11
971,9.57831e-11
972,9.57831e-11
973,9.57831e-11
974,9.57831e-11
975,9.57831e-11
976,9.57831e-11
977,9.57831e-11
978,9.57831e-11
979,9.57831e-11
980,9.57831e-11
981,9.57831e-11
982,9.57831e-11
983,9.57831e-11
984,9.57831e-11
985,9.57831e-11
986,9.57831e-11
987,9.57831e-11
988,9.57831e-11
989,9.57831e-11
990,9.57831e-11
991,9.57831e-11
992,9.57831e-11
993,9.57831e-11
994,9.57831e-11
995,9.57831e-11
996,9.57831e-11
997,9.57831e-11
998,9.57831e-11
999,9.57831e-11
1000,9.57831e-11
